Fold,F1,Precision,Recall,ROC-AUC,Time (s)
1,0.988621997471555,1.0,0.9775,0.9991680555555555,1.0014936923980713
2,0.9821882951653944,1.0,0.965,0.9981583333333333,0.9792392253875732
3,0.9847715736040609,1.0,0.97,0.9986499999999999,1.0061702728271484
4,0.9860583016476553,1.0,0.9725,0.9993944444444445,1.591928243637085
5,0.9821882951653944,1.0,0.965,0.9981694444444444,1.3269047737121582
