Fold,F1,Precision,Recall,ROC-AUC,Time (s)
1,0.9874371859296482,0.9924242424242424,0.9825,0.9995763888888889,2.4043471813201904
2,0.9873737373737373,0.9974489795918368,0.9775,0.9993222222222222,2.1509463787078857
3,0.9810366624525917,0.9923273657289002,0.97,0.9993041666666667,2.116445541381836
4,0.9925187032418953,0.9900497512437811,0.995,0.9998652777777778,4.091344594955444
5,0.9861286254728878,0.9949109414758269,0.9775,0.9998027777777778,3.9714996814727783
