url,is_phishing,url_length,domain_length,num_dots,num_subdomains,num_hyphens,num_underscores,num_at_signs,has_port,has_https,has_http_in_domain,path_length,domain_age_days,country,has_valid_ssl,brand_similarity
https://theweek.com,0,19,11,1,0,0,0,0,0,1,0,0,10235,UNKNOWN,1,0.3333
https://krita.org,0,17,9,1,0,0,0,0,0,1,0,0,6525,DE,1,0.4615
https://atsjournals.org,0,23,15,1,0,0,0,0,0,1,0,0,10450,UNKNOWN,1,0.3529
https://econscope-by-the-agora-review.ghost.io/the-question-is-not-whether-america-can-still-afford-to-lead/,1,108,38,2,1,14,0,0,0,1,0,62,5333,US,1,0.3684
https://jean.ope-10884282.pro/captcha.php,1,41,21,3,1,1,0,0,0,1,0,12,-1,UNKNOWN,1,0.5
https://bankrate.com,0,20,12,1,0,0,0,0,0,1,0,0,11387,UNKNOWN,1,0.5714
https://oklahoma.gov-zxj.help/,1,30,21,2,1,1,0,0,0,1,0,1,19,UNKNOWN,0,0.4615
https://widen.net,0,17,9,1,0,0,0,0,0,1,0,0,3451,US,1,0.5
https://tommy.com,0,17,9,1,0,0,0,0,0,1,0,0,10021,DE,1,0.3333
https://hulu.com,0,16,8,1,0,0,0,0,0,1,0,0,10669,UNKNOWN,1,0.4
https://syfy.com,0,16,8,1,0,0,0,0,0,1,0,0,9836,UNKNOWN,1,0.3077
https://flsenate.gov,0,20,12,1,0,0,0,0,0,1,0,0,8592,UNKNOWN,1,0.375
https://service-en-ligne-amendes-antai-gouv-fr.paiementexpress.es/net/details.php,1,81,57,3,1,6,0,0,0,1,0,16,-1,UNKNOWN,1,0.2174
https://dwell.com,0,17,9,1,0,0,0,0,0,1,0,0,9914,US,1,0.5333
https://viadeo.com,0,18,10,1,0,0,0,0,0,1,0,0,7453,UNKNOWN,1,0.4286
https://transifex.com,0,21,13,1,0,0,0,0,0,1,0,0,6575,UNKNOWN,1,0.4286
https://brit.co,0,15,7,1,0,0,0,0,0,1,0,0,5772,DE,1,0.4
https://startling-chebakia-259d21.netlify.app/pr,1,48,37,2,1,2,0,0,0,1,0,3,-1,US,1,0.303
https://thefreedictionary.com,0,29,21,1,0,0,0,0,0,1,0,0,8373,UNKNOWN,1,0.3333
https://xfinitymail0247.weebly.com/,1,35,26,2,1,0,0,0,0,1,0,1,7346,UNKNOWN,1,0.3333
https://irishexaminer.com,0,25,17,1,0,0,0,0,0,1,0,0,9875,UNKNOWN,1,0.381
https://ralphlauren.com,0,23,15,1,0,0,0,0,0,1,0,0,10818,UNKNOWN,1,0.375
https://fox2now.com,0,19,11,1,0,0,0,0,0,1,0,0,6394,US,1,0.4
http://nodebitonline.pages.dev/,1,31,23,2,1,0,0,0,0,0,0,1,-1,UNKNOWN,1,0.5
https://nav-changellyio.wixstudio.com/en-ca,1,43,29,2,1,2,0,0,0,1,0,6,-1,UNKNOWN,1,0.4
https://worldofwarcraft.com,0,27,19,1,0,0,0,0,0,1,0,0,9768,UNKNOWN,1,0.4286
https://cnsnews.com,0,19,11,1,0,0,0,0,0,1,0,0,10195,US,1,0.5
https://scimagojr.com,0,21,13,1,0,0,0,0,0,1,0,0,6883,UNKNOWN,1,0.4444
https://chaosdorf.de,0,20,12,1,0,0,0,0,0,1,0,0,-1,DE,1,0.5714
https://www.rct.uk,0,18,10,2,1,0,0,0,0,1,0,0,3642,UNKNOWN,1,0.2
https://url.cn,0,14,6,1,0,0,0,0,0,1,0,0,8454,UNKNOWN,1,0.4
https://wikidot.com,0,19,11,1,0,0,0,0,0,1,0,0,7316,UNKNOWN,1,0.4286
https://fcbarcelona.com,0,23,15,1,0,0,0,0,0,1,0,0,10847,UNKNOWN,1,0.5263
https://hearstnetworks.com,0,26,18,1,0,0,0,0,0,1,0,0,681,UNKNOWN,1,0.3333
https://ifc.org,0,15,7,1,0,0,0,0,0,1,0,0,11097,UNKNOWN,1,0.3636
https://blog.com,0,16,8,1,0,0,0,0,0,1,0,0,10252,UNKNOWN,0,0.4
https://societe-securipass.fr/captcha.php,1,41,21,2,0,1,0,0,0,1,0,12,4,UNKNOWN,0,0.3846
https://acronis.com,0,19,11,1,0,0,0,0,0,1,0,0,9251,UNKNOWN,1,0.5
https://orange-verification-fr.s-host.net/login.php,1,51,33,3,1,3,0,0,0,1,0,10,4166,UNKNOWN,1,0.4
https://clarin.com,0,18,10,1,0,0,0,0,0,1,0,0,11224,UNKNOWN,1,0.4286
